node id,node name,alpha,beta,gamma
1,Full Body,0.88,0.36,0
2,Upper Body,0.5,0.51,0.36
3,Lower Body,0.66,0.58,0.39
4,Right Arm,0.2,0.4,0.46
5,Torso,0.67,0.42,0.55
6,Left Arm,0.56,0.39,0.42
7,Right Leg,0.43,0.48,0.44
8,Left Leg,0.78,0.56,0.39
9,right shoulder,0.67,0,0.28
10,right elbow,0,0,0.54
11,right wrist,0.3,0,0.3
12,head,0.81,0,0.4
13,neck,0.65,0,0.41
14,left shoulder,0.6,0,0.46
15,left elbow,0.69,0,0.61
16,left wrist,0.59,0,0.35
17,rigth hip,0.26,0,0.34
18,right knee,0.56,0,0.36
19,right ankle,0.45,0,0.35
20,left hip,0.37,0,0.34
21,left knee,0.63,0,0.6
22,left ankle,0.75,0,0.6
1,Task1_10.png,Is the person in the image running or walking?,Running,Walking