timestep,question ,action_node_id, bubble_size, bubble_scale
trial_49_6,Show me Lower Body,3,2,2,
trial_49_7,Show me right elbow,10,1,1,
trial_49_8,Show me left elbow,15,1,1,
trial_49_9,Show me Torso,5,1,2,
50,50,50,50,50,
trial_50_1,Show me right elbow,10,2,2,
trial_50_2,Show me Right Leg,7,1,1,
trial_50_3,Show me Left Leg,8,2,2,
trial_50_4,Show me left hip,20,0,1,
trial_50_5,Show me neck,13,2,0,
trial_50_6,Show me Left Leg,8,2,2,
trial_50_7,Show me left elbow,15,0,1,
trial_50_8,Show me left shoulder,14,2,2,
trial_50_9,Show me left wrist,16,2,0,
50,50,50,50,50,
trial_51_1,Show me Lower Body,3,2,1,
trial_51_2,Show me Full Body,1,0,2,
trial_51_3,Show me Right Arm,4,2,1,
trial_51_4,Show me right knee,18,0,1,
50,50,50,50,50,
trial_52_1,Show me left hip,20,2,0,
trial_52_2,Show me left wrist,16,1,1,
trial_52_3,Show me right elbow,10,1,2,
trial_52_4,Show me Full Body,1,2,1,
trial_52_5,Show me Torso,5,0,2,
trial_52_6,Show me left wrist,16,0,1,
50,50,50,50,50,
trial_53_1,Show me right elbow,10,0,2,
trial_53_2,Show me right knee,18,2,2,
trial_53_3,Show me Full Body,1,0,1,
trial_53_4,Show me Left Leg,8,0,0,
trial_53_5,Show me left elbow,15,0,2,
trial_53_6,Show me Lower Body,3,2,0,
trial_53_7,Show me Left Leg,8,0,2,
50,50,50,50,50,
trial_54_1,Show me right knee,18,2,1,
trial_54_2,Show me left wrist,16,2,0,
trial_54_3,Show me right elbow,10,0,1,
trial_54_4,Show me right wrist,11,1,1,
trial_54_5,Show me right shoulder,9,1,2,
trial_54_6,Show me left shoulder,14,0,2,
50,50,50,50,50,
trial_55_1,Show me Right Arm,4,2,2,
trial_55_2,Show me left wrist,16,1,1,
trial_55_3,Show me Right Arm,4,2,1,
trial_55_4,Show me Left Arm,6,0,1,
trial_55_5,Show me left shoulder,14,0,2,
50,50,50,50,50,
trial_56_1,Show me left hip,20,0,1,
trial_56_2,Show me right elbow,10,0,2,
trial_56_3,Show me Upper Body,2,1,1,
trial_56_4,Show me Full Body,1,0,0,
trial_56_5,Show me rigth hip,17,0,2,
trial_56_6,Show me Upper Body,2,1,0,
trial_56_7,Show me neck,13,2,0,
50,50,50,50,50,
trial_57_1,Show me Right Arm,4,2,2,
trial_57_2,Show me left hip,20,1,0,
trial_57_3,Show me rigth hip,17,0,1,
trial_57_4,Show me rigth hip,17,2,0,
50,50,50,50,50,
trial_58_1,Show me Upper Body,2,1,1,
trial_58_2,Show me Left Leg,8,0,2,
trial_58_3,Show me left hip,20,2,2,
trial_58_4,Show me Right Arm,4,0,2,
trial_58_5,Show me Right Leg,7,1,1,
trial_58_6,Show me head,12,2,0,
trial_58_7,Show me Lower Body,3,2,2,
trial_58_8,Show me left ankle,22,1,2,
50,50,50,50,50,
trial_59_1,Show me right elbow,10,1,2,
trial_59_2,Show me Left Leg,8,1,2,
trial_59_3,Show me neck,13,1,1,
trial_59_4,Show me right shoulder,9,0,1,
trial_59_5,Show me left ankle,22,0,1,
trial_59_6,Show me left wrist,16,1,0,
50,50,50,50,50,
trial_60_1,Show me right shoulder,9,1,2,
trial_60_2,Show me Full Body,1,1,0,
trial_60_3,Show me Lower Body,3,2,1,
trial_60_4,Show me Full Body,1,2,1,
trial_60_5,Show me Lower Body,3,2,0,
trial_60_6,Show me Lower Body,3,0,1,
trial_60_7,Show me Upper Body,2,0,0,
trial_60_8,Show me left ankle,22,2,0,
50,50,50,50,50,
trial_61_1,Show me left hip,20,0,2,
trial_61_2,Show me neck,13,0,2,
trial_61_3,Show me left knee,21,0,0,
trial_61_4,Show me left hip,20,2,2,
50,50,50,50,50,
trial_62_1,Show me Torso,5,1,1,
trial_62_2,Show me right shoulder,9,0,1,
trial_62_3,Show me right ankle,19,2,1,
trial_62_4,Show me Left Leg,8,0,1,
trial_62_5,Show me right wrist,11,1,2,
50,50,50,50,50,
trial_63_1,Show me head,12,2,0,
trial_63_2,Show me left wrist,16,2,0,
trial_63_3,Show me rigth hip,17,2,1,
trial_63_4,Show me left shoulder,14,0,2,
trial_63_5,Show me Lower Body,3,0,0,
trial_63_6,Show me left hip,20,1,1,
trial_63_7,Show me Lower Body,3,2,1,
trial_63_8,Show me neck,13,1,0,
50,50,50,50,50,
trial_64_1,Show me right wrist,11,2,0,
trial_64_2,Show me Right Leg,7,2,2,
trial_64_3,Show me left ankle,22,0,1,
trial_64_4,Show me left ankle,22,2,1,
50,50,50,50,50,
trial_65_1,Show me Right Arm,4,2,0,
trial_65_2,Show me right ankle,19,1,0,
trial_65_3,Show me Upper Body,2,1,1,
trial_65_4,Show me Left Leg,8,2,1,
trial_65_5,Show me rigth hip,17,1,0,
trial_65_6,Show me Left Leg,8,1,2,
trial_65_7,Show me right wrist,11,2,1,
trial_65_8,Show me head,12,0,2,
trial_65_9,Show me right wrist,11,0,0,
50,50,50,50,50,
trial_66_1,Show me right elbow,10,1,0,
trial_66_2,Show me Right Leg,7,0,2,
trial_66_3,Show me Lower Body,3,2,1,
trial_66_4,Show me left ankle,22,0,1,
trial_66_5,Show me Lower Body,3,0,2,
trial_66_6,Show me left knee,21,1,0,
50,50,50,50,50,
trial_67_1,Show me Right Leg,7,2,0,
trial_67_2,Show me left wrist,16,0,2,
trial_67_3,Show me Lower Body,3,2,2,
trial_67_4,Show me left hip,20,1,2,
trial_67_5,Show me right knee,18,2,0,
50,50,50,50,50,
trial_68_1,Show me left wrist,16,0,1,
trial_68_2,Show me right wrist,11,0,0,
trial_68_3,Show me right elbow,10,0,1,
trial_68_4,Show me Upper Body,2,0,2,
50,50,50,50,50,
trial_69_1,Show me Upper Body,2,1,1,
trial_69_2,Show me neck,13,1,2,
trial_69_3,Show me Lower Body,3,1,2,
trial_69_4,Show me Upper Body,2,2,1,
trial_69_5,Show me left wrist,16,0,1,
50,50,50,50,50,
trial_70_1,Show me left ankle,22,0,0,
trial_70_2,Show me right shoulder,9,1,1,
trial_70_3,Show me right elbow,10,1,0,
trial_70_4,Show me left elbow,15,0,2,
trial_70_5,Show me Lower Body,3,1,2,
trial_70_6,Show me right wrist,11,0,0,
trial_70_7,Show me Left Leg,8,1,2,
50,50,50,50,50,
trial_71_1,Show me Right Arm,4,2,2,
trial_71_2,Show me left ankle,22,0,0,
trial_71_3,Show me neck,13,0,2,
trial_71_4,Show me neck,13,0,1,
trial_71_5,Show me Full Body,1,1,0,
trial_71_6,Show me left shoulder,14,1,0,
trial_71_7,Show me left wrist,16,0,2,
trial_71_8,Show me left wrist,16,1,1,
trial_71_9,Show me Left Arm,6,0,1,
50,50,50,50,50,
trial_72_1,Show me right knee,18,2,2,
trial_72_2,Show me left shoulder,14,1,1,
trial_72_3,Show me Left Arm,6,2,1,
trial_72_4,Show me Left Arm,6,0,1,
trial_72_5,Show me left ankle,22,1,1,
50,50,50,50,50,
trial_73_1,Show me Left Arm,6,2,1,
trial_73_2,Show me left hip,20,0,0,
trial_73_3,Show me Right Leg,7,2,1,
trial_73_4,Show me left hip,20,0,2,
trial_73_5,Show me right elbow,10,2,2,
trial_73_6,Show me neck,13,1,1,
trial_73_7,Show me Full Body,1,1,1,
trial_73_8,Show me Torso,5,0,2,
50,50,50,50,50,
trial_74_1,Show me left elbow,15,1,2,
trial_74_2,Show me right wrist,11,1,1,
trial_74_3,Show me Upper Body,2,0,2,
trial_74_4,Show me Full Body,1,1,0,
50,50,50,50,50,
trial_75_1,Show me right wrist,11,1,0,
trial_75_2,Show me right elbow,10,1,1,
trial_75_3,Show me head,12,0,1,
trial_75_4,Show me left ankle,22,1,1,
trial_75_5,Show me left ankle,22,0,2,
trial_75_6,Show me right elbow,10,0,2,
trial_75_7,Show me right knee,18,0,1,
50,50,50,50,50,
trial_76_1,Show me right elbow,10,0,1,
trial_76_2,Show me Right Leg,7,0,2,
trial_76_3,Show me Upper Body,2,0,2,
trial_76_4,Show me head,12,0,2,
trial_76_5,Show me left shoulder,14,0,1,
trial_76_6,Show me Lower Body,3,0,1,
50,50,50,50,50,
trial_77_1,Show me right knee,18,1,2,
trial_77_2,Show me left elbow,15,0,2,
trial_77_3,Show me Lower Body,3,0,2,
trial_77_4,Show me left wrist,16,1,1,
trial_77_5,Show me Full Body,1,0,0,
trial_77_6,Show me left knee,21,0,1,
trial_77_7,Show me Torso,5,1,2,
trial_77_8,Show me right elbow,10,0,2,
trial_77_9,Show me Left Arm,6,2,2,
50,50,50,50,50,
trial_78_1,Show me left hip,20,2,2,
trial_78_2,Show me Full Body,1,1,0,
trial_78_3,Show me Lower Body,3,2,0,
trial_78_4,Show me Full Body,1,1,0,
trial_78_5,Show me right ankle,19,0,0,
50,50,50,50,50,
trial_79_1,Show me right shoulder,9,2,0,
trial_79_2,Show me head,12,1,1,
trial_79_3,Show me left wrist,16,0,0,
trial_79_4,Show me Right Leg,7,0,1,
trial_79_5,Show me Lower Body,3,0,0,
trial_79_6,Show me left ankle,22,2,0,
trial_79_7,Show me Torso,5,0,2,
50,50,50,50,50,
trial_80_1,Show me right shoulder,9,0,2,
trial_80_2,Show me left elbow,15,1,0,
trial_80_3,Show me right wrist,11,2,2,
trial_80_4,Show me left wrist,16,2,1,
trial_80_5,Show me Full Body,1,1,2,
trial_80_6,Show me Left Arm,6,1,1,
trial_80_7,Show me Right Leg,7,0,2,
50,50,50,50,50,
trial_81_1,Show me right shoulder,9,2,2,
trial_81_2,Show me right ankle,19,2,2,
trial_81_3,Show me Torso,5,2,1,
trial_81_4,Show me right wrist,11,2,0,
trial_81_5,Show me neck,13,2,1,
50,50,50,50,50,
trial_82_1,Show me Left Arm,6,2,0,
trial_82_2,Show me Right Leg,7,1,1,
trial_82_3,Show me left ankle,22,2,1,
trial_82_4,Show me Full Body,1,1,0,
trial_82_5,Show me right knee,18,1,2,
50,50,50,50,50,
trial_83_1,Show me right wrist,11,0,1,
trial_83_2,Show me left shoulder,14,1,2,
trial_83_3,Show me left knee,21,2,1,
trial_83_4,Show me right ankle,19,0,1,
50,50,50,50,50,
trial_84_1,Show me left ankle,22,0,0,
trial_84_2,Show me right shoulder,9,1,2,
trial_84_3,Show me Full Body,1,1,1,
trial_84_4,Show me Upper Body,2,2,1,
50,50,50,50,50,
trial_85_1,Show me right knee,18,1,2,
trial_85_2,Show me Right Leg,7,0,2,
trial_85_3,Show me Upper Body,2,0,1,
trial_85_4,Show me right elbow,10,0,0,
trial_85_5,Show me Right Leg,7,2,0,
trial_85_6,Show me Left Leg,8,1,1,
trial_85_7,Show me rigth hip,17,2,2,
50,50,50,50,50,
trial_86_1,Show me Right Leg,7,1,0,
trial_86_2,Show me right ankle,19,2,1,
trial_86_3,Show me Torso,5,2,0,
trial_86_4,Show me Left Leg,8,2,0,
trial_86_5,Show me Lower Body,3,2,0,
trial_86_6,Show me right shoulder,9,1,2,
trial_86_7,Show me head,12,0,2,
trial_86_8,Show me Right Arm,4,2,1,
trial_86_9,Show me Lower Body,3,2,2,
50,50,50,50,50,
trial_87_1,Show me Right Arm,4,2,1,
trial_87_2,Show me rigth hip,17,2,1,
trial_87_3,Show me Torso,5,0,2,
trial_87_4,Show me left knee,21,0,2,
trial_87_5,Show me right shoulder,9,0,0,
50,50,50,50,50,
trial_88_1,Show me rigth hip,17,0,2,
trial_88_2,Show me neck,13,2,2,
trial_88_3,Show me right knee,18,2,1,
trial_88_4,Show me left shoulder,14,0,0,
trial_88_5,Show me neck,13,1,0,
trial_88_6,Show me left ankle,22,1,0,
50,50,50,50,50,
trial_89_1,Show me left elbow,15,2,2,
trial_89_2,Show me Right Leg,7,2,2,
trial_89_3,Show me right shoulder,9,1,1,
trial_89_4,Show me rigth hip,17,1,1,
trial_89_5,Show me Lower Body,3,2,0,
50,50,50,50,50,
trial_90_1,Show me left wrist,16,0,0,
trial_90_2,Show me neck,13,0,0,
trial_90_3,Show me left ankle,22,1,2,
trial_90_4,Show me Upper Body,2,0,0,
trial_90_5,Show me right shoulder,9,0,2,
trial_90_6,Show me Torso,5,1,1,
trial_90_7,Show me Full Body,1,2,2,
trial_90_8,Show me right knee,18,1,2,
trial_90_9,Show me Right Arm,4,1,2,
50,50,50,50,50,
trial_91_1,Show me right wrist,11,1,0,
trial_91_2,Show me neck,13,1,1,
trial_91_3,Show me neck,13,2,1,
trial_91_4,Show me right shoulder,9,2,1,
trial_91_5,Show me neck,13,1,2,
trial_91_6,Show me Right Arm,4,1,1,
trial_91_7,Show me Left Leg,8,2,0,
trial_91_8,Show me head,12,1,1,
trial_91_9,Show me Lower Body,3,2,1,
50,50,50,50,50,
trial_92_1,Show me Full Body,1,2,0,
trial_92_2,Show me Left Leg,8,1,0,
trial_92_3,Show me right elbow,10,1,0,
trial_92_4,Show me Right Arm,4,0,2,
trial_92_5,Show me head,12,0,0,
50,50,50,50,50,
trial_93_1,Show me Torso,5,1,0,
trial_93_2,Show me Right Arm,4,0,0,
trial_93_3,Show me left knee,21,0,2,
trial_93_4,Show me right shoulder,9,2,2,
trial_93_5,Show me Left Leg,8,0,2,
trial_93_6,Show me left ankle,22,0,0,
trial_93_7,Show me left hip,20,0,2,
trial_93_8,Show me Torso,5,0,2,
trial_93_9,Show me Left Arm,6,2,0,
50,50,50,50,50,
trial_94_1,Show me Torso,5,0,1,
trial_94_2,Show me left ankle,22,2,0,
trial_94_3,Show me Torso,5,2,1,
trial_94_4,Show me right elbow,10,0,0,
trial_94_5,Show me left hip,20,0,1,
trial_94_6,Show me neck,13,1,0,
50,50,50,50,50,
trial_95_1,Show me left ankle,22,0,0,
trial_95_2,Show me Right Arm,4,2,0,
trial_95_3,Show me left elbow,15,0,1,
trial_95_4,Show me Upper Body,2,2,0,
trial_95_5,Show me right wrist,11,0,2,
trial_95_6,Show me Full Body,1,2,0,
50,50,50,50,50,
trial_96_1,Show me Left Arm,6,0,0,
trial_96_2,Show me right elbow,10,1,1,
trial_96_3,Show me Full Body,1,0,1,
trial_96_4,Show me right wrist,11,0,0,
trial_96_5,Show me left shoulder,14,1,0,
trial_96_6,Show me neck,13,2,0,
trial_96_7,Show me head,12,0,1,
trial_96_8,Show me left knee,21,2,1,
trial_96_9,Show me Left Arm,6,1,2,
50,50,50,50,50,
trial_97_1,Show me head,12,1,1,
trial_97_2,Show me right elbow,10,0,0,
trial_97_3,Show me right knee,18,0,2,
trial_97_4,Show me Right Leg,7,0,1,
trial_97_5,Show me head,12,2,0,
trial_97_6,Show me left hip,20,1,1,
50,50,50,50,50,
trial_98_1,Show me neck,13,1,0,
trial_98_2,Show me right knee,18,1,0,
trial_98_3,Show me Right Arm,4,2,1,
trial_98_4,Show me left wrist,16,1,1,
50,50,50,50,50,
trial_99_1,Show me Full Body,1,1,2,
trial_99_2,Show me left knee,21,2,0,
trial_99_3,Show me right knee,18,1,2,
trial_99_4,Show me Upper Body,2,2,0,
trial_99_5,Show me head,12,0,1,
trial_99_6,Show me right knee,18,1,1,
trial_99_7,Show me Left Arm,6,1,0,
50,50,50,50,50,
trial_100_1,Show me right elbow,10,0,0,
trial_100_2,Show me Torso,5,2,2,
trial_100_3,Show me right wrist,11,1,2,
trial_100_4,Show me right knee,18,1,1,
trial_100_5,Show me right shoulder,9,0,0,
50,50,50,50,50,
